destination,destination_name,large_category,middle_category,small_category,large_category_name,middle_category_name,small_category_name,x,y
128015,서울 신림동 민속순대타운,A02,A0203,A02030600,인문(문화/예술/역사),체험관광지,이색거리,126.928553,37.483202
2401757,자양동 양꼬치거리 (중국음식문화거리),A02,A0203,A02030600,인문(문화/예술/역사),체험관광지,이색거리,127.064797,37.538481
781031,홍대,A02,A0203,A02030600,인문(문화/예술/역사),체험관광지,이색거리,126.923346,37.556549
1021339,서래마을,A02,A0203,A02030600,인문(문화/예술/역사),체험관광지,이색거리,126.99816,37.496343
749355,영등포 신길동 홍어거리,A02,A0203,A02030600,인문(문화/예술/역사),체험관광지,이색거리,126.911545,37.510546
713110,응암동 감자국 거리,A02,A0203,A02030600,인문(문화/예술/역사),체험관광지,이색거리,126.916687,37.587215
126534,대학로,A02,A0203,A02030600,인문(문화/예술/역사),체험관광지,이색거리,127.000557,37.586908
250147,삼청동길,A02,A0203,A02030600,인문(문화/예술/역사),체험관광지,이색거리,126.982104,37.584452
264353,인사동,A02,A0203,A02030600,인문(문화/예술/역사),체험관광지,이색거리,126.983376,37.575431
126533,청와대 앞길,A02,A0203,A02030600,인문(문화/예술/역사),체험관광지,이색거리,126.970538,37.580855
264311,명동,A02,A0203,A02030600,인문(문화/예술/역사),체험관광지,이색거리,126.984687,37.563621
2505927,피노파밀리아,A02,A0203,A02030400,인문(문화/예술/역사),체험관광지,이색체험,127.07976,37.646088
229901,한국종합무역센터(코엑스),A02,A0206,A02060400,인문(문화/예술/역사),문화시설,컨벤션센터,127.059154,37.511745
774675,겸재정선미술관,A02,A0206,A02060500,인문(문화/예술/역사),문화시설,미술관/화랑,126.838384,37.572207
1866427,서울시립 북서울미술관,A02,A0206,A02060500,인문(문화/예술/역사),문화시설,미술관/화랑,127.066839,37.64065
130720,평강성서유물박물관,A02,A0206,A02060100,인문(문화/예술/역사),문화시설,박물관,126.844041,37.491952
2033802,둘리뮤지엄,A02,A0206,A02060100,인문(문화/예술/역사),문화시설,박물관,127.027609,37.652415
130448,서대문자연사박물관,A02,A0206,A02060100,인문(문화/예술/역사),문화시설,박물관,126.937852,37.57675
129703,국립중앙박물관,A02,A0206,A02060100,인문(문화/예술/역사),문화시설,박물관,126.980333,37.523923
130361,서울역사박물관,A02,A0206,A02060100,인문(문화/예술/역사),문화시설,박물관,126.971049,37.570481
130431,전쟁기념관,A02,A0206,A02060200,인문(문화/예술/역사),문화시설,기념관,126.978439,37.537327
1366921,광진교 8번가,A02,A0205,A02050200,인문(문화/예술/역사),건축/조형물,기념탑/기념비/전망대,127.112937,37.544962
126535,남산서울타워,A02,A0205,A02050200,인문(문화/예술/역사),건축/조형물,기념탑/기념비/전망대,126.987621,37.551639
127375,길동생태공원,A01,A0101,A01010500,자연,자연관광지,자연생태관광지,127.156839,37.541319
809490,강서습지생태공원,A01,A0101,A01010500,자연,자연관광지,자연생태관광지,126.812838,37.588899
742972,아차산생태공원,A01,A0101,A01010500,자연,자연관광지,자연생태관광지,127.101805,37.552486
827585,양재천 생태공원,A01,A0101,A01010500,자연,자연관광지,자연생태관광지,127.035493,37.473672
809596,여의도샛강생태공원,A01,A0101,A01010500,자연,자연관광지,자연생태관광지,126.921844,37.518739
126480,관악산,A01,A0101,A01010400,자연,자연관광지,산,126.954099,37.448404
129552,아차산,A01,A0101,A01010400,자연,자연관광지,산,127.10862,37.579616
126482,불암산,A01,A0101,A01010400,자연,자연관광지,산,127.084003,37.67696
126483,수락산,A01,A0101,A01010400,자연,자연관광지,산,127.080719,37.69796
2357761,구룡산(서울),A01,A0101,A01010400,자연,자연관광지,산,127.0616,37.469078
125452,청계산,A01,A0101,A01010400,자연,자연관광지,산,127.054368,37.441687
1874105,응봉산(서울),A01,A0101,A01010400,자연,자연관광지,산,127.030117,37.549152
128776,남산 케이블카,A01,A0101,A01010400,자연,자연관광지,산,126.983993,37.556456
1115042,봉화산(서울),A01,A0101,A01010400,자연,자연관광지,산,127.086616,37.608657
814123,용마산,A01,A0101,A01010400,자연,자연관광지,산,127.08665,37.573539
756590,관악산공원 야외식물원,A01,A0101,A01010700,자연,자연관광지,수목원,126.948049,37.461677
126500,홍릉수목원,A01,A0101,A01010700,자연,자연관광지,수목원,127.040681,37.592452
127220,북한산국립공원(서울),A01,A0101,A01010100,자연,자연관광지,국립공원,126.970381,37.636885
809372,백사실계곡,A01,A0101,A01010900,자연,자연관광지,계곡,126.967771,37.600645
132216,노량진수산물도매시장,A04,A0401,A04010200,쇼핑,쇼핑,상설시장,126.940826,37.515101
2499807,망원시장,A04,A0401,A04010200,쇼핑,쇼핑,상설시장,126.905611,37.556226
2037026,대림중앙시장,A04,A0401,A04010200,쇼핑,쇼핑,상설시장,126.899269,37.490851
132183,광장시장,A04,A0401,A04010200,쇼핑,쇼핑,상설시장,126.999513,37.570079
132180,남대문시장,A04,A0401,A04010200,쇼핑,쇼핑,상설시장,126.977549,37.559177
273746,황학동 벼룩시장 (도깨비시장 / 만물시장),A04,A0401,A04010200,쇼핑,쇼핑,상설시장,127.018123,37.569171
